,"perplexity: 10, early_exaggeration: 4.0, learning_rate: 250, metric: correlation, init: pca", , 
,tSNE 1,tSNE 2,HDBSCAN label
IL7051-715-511,19.724407196044922,44.626956939697266,20.0
IL7051-704-516,21.180418014526367,-13.405532836914062,26.0
IL7051-710-503,34.27190017700195,-44.06272506713867,16.0
IL7051-711-521,-64.48847961425781,4.247291564941406,3.0
IL7051-718-513,-24.92279815673828,-23.199281692504883,10.0
IL7051-720-511,-0.030289631336927414,-11.829421043395996,-1.0
IL7051-714-518,-32.468589782714844,3.3510828018188477,13.0
IL7051-716-521,-25.02741813659668,45.307613372802734,9.0
IL7051-712-508,5.967248439788818,-47.691226959228516,0.0
IL7051-722-510,-14.099592208862305,-61.14139175415039,1.0
IL7051-703-505,-56.65926742553711,-21.057172775268555,2.0
IL7051-712-502,20.78208351135254,42.38458251953125,20.0
IL7051-718-521,37.92888641357422,29.145341873168945,8.0
IL7051-704-505,36.983245849609375,37.5647087097168,8.0
IL7051-714-520,4.743807792663574,20.126054763793945,12.0
IL7051-716-513,44.466468811035156,29.895795822143555,8.0
IL7051-715-508,-3.246352195739746,3.915717601776123,4.0
IL7051-712-506,46.43544387817383,-0.8894501328468323,6.0
IL7051-719-507,-28.290874481201172,49.05967712402344,9.0
IL7051-721-505,-0.293559193611145,-3.953101873397827,18.0
IL7051-729-515,-55.794776916503906,-23.609149932861328,2.0
IL7051-711-517,-1.5484150648117065,-26.907602310180664,25.0
IL7051-707-510,-26.323461532592773,-28.512479782104492,10.0
IL7051-716-517,-32.181514739990234,43.801822662353516,9.0
IL7051-715-506,-28.828794479370117,7.271274089813232,13.0
IL7051-726-505,37.029666900634766,-39.93247604370117,16.0
IL7051-702-511,-22.229272842407227,14.639826774597168,14.0
IL7051-718-517,-29.858068466186523,2.655078887939453,13.0
IL7051-720-515,-23.445087432861328,-25.577096939086914,10.0
IL7051-710-507,33.60185241699219,49.41337585449219,5.0
IL7051-705-511,9.916827201843262,-48.23847198486328,0.0
IL7051-727-515,36.091514587402344,-40.38685989379883,16.0
IL7051-701-521,41.14875793457031,-1.1860146522521973,6.0
IL7051-703-518,1.7405210733413696,19.708898544311523,12.0
IL7051-722-507,-20.58424186706543,21.8632869720459,14.0
IL7051-721-516,-54.257843017578125,-21.77133560180664,2.0
IL7051-712-515,23.958402633666992,39.75447082519531,21.0
IL7051-726-516,-8.316061973571777,-34.948055267333984,22.0
IL7051-715-515,44.24905014038086,31.600605010986328,8.0
IL7051-706-521,-28.050880432128906,51.20509719848633,9.0
IL7051-707-503,-34.21311569213867,5.322856426239014,13.0
IL7051-702-508,-5.612723350524902,-35.65103530883789,22.0
IL7051-723-517,40.23350143432617,37.59721755981445,8.0
